Speaker,Sentences
[OTH],"Yeah... You know, it seems like something's still not right."
Cartman,"Yeah, something feels...unfinished."
[OTH],Wh-what could it be?
[OTH],(Yee he hee!)
[OTH],"Happy Birthday to me, Happy Birthday to me..."
[OTH],"We wish you a Merry Christmas
We wish you a Merry Christmas
We wish you a Merry Christmas
And a Happy New Year!"
[OTH],"Lights, please."
[OTH],"And there were in the same country shepherds abiding in the fields,
keeping watch over their flocks by night.
And lo, an angel of the Lord came upon them,
and they were sore afraid, and the angel said unto them,
'Fear not, for behold, I bring you tidings of great joy,
for born unto you this day in the city of
...David is the Savior, Jesus Christ, the Lord.
Glory to God in the highest and on earth peace,
goodwill towards men'

And now, South Park Elementary presents the Birth of Jesus."
[OTH],Unh Oh!
[OTH],"Come on, Mary! Push!"
[OTH],Aaaah!
[OTH],I can see its head!
[OTH],UUuuhh-UUuuhh.
[OTH],It's a boy!
Cartman,Oohhhh!
[OTH],(Kyle has Jesus' head instead!)
[OTH],"Wait a minute, wait, wait, wait, Kyle, what the hell was that? You need to hold the baby by the legs, not by the head. What kind of sick weirdo are you?"
[OTH],...Sorry.
[OTH],"And Wendy, I'm still not believing the labor pains."
[OTH],Okay.
[OTH],"Mr. Garrison, what the hell do you think you're doing?!"
[OTH],"Well, I'm trying to direct the school Christmas play, but your son was holding the baby Jesus fetus by the head."
[OTH],How dare you include the Nativity in a school play? Don't you realize my son is Jewish?!
[OTH],...So?
[OTH],So what makes you think he should play Joseph of Arimathea?
[OTH],Because it's Christmas???
[OTH],Our family doesn't celebrate Christmas.
[OTH],"Oh god, you're not gonna lay that Hanukkah crap on me, are you?"
[OTH],"Whatwhatwhaaat?!? You're not going to get away with this, Mr. Garrison!!"
Cartman,Oh dude! Kyle's mom is here to ruin Christmas!
[OTH],"Shut up, fat boy!"
Cartman,"I'm not fat, I'm festively plump."
[OTH],"Why are you Jewish on Christmas, Kyle?"
[OTH],"Oh-kay! Kyle, is there anything you can do for the Christmas play that isn't related to Jesus?"
[OTH],"How about the dreidel song, bubbe?"
[OTH],I can sing the Mr. Hankey song...
[OTH],The Mr. Hankey song-how does that go?
[OTH],"Mr. Hankey, the Christmas Poo
he loves me and I love y-"
[OTH],Christmas Poo?
Cartman,What the hell is Christmas Poo?
[OTH],"Mr. Hankey, the Christmas Poo. Haven't you guys ever heard of it?"
[OTH],"Kyle, that is enough!"
[OTH],"See, that's what you get when you raise your child to be a pagan."
[OTH],"Now that does it! I'm going straight to the mayor about you, Mr Garrison."
[OTH],Oh wait wait wait. I'm sorry. Was it the pagan remark?
[OTH],"You guys, look! It's snowing!"
[OTH],"Whoa, Christmas snow!"
[OTH],Try to catch snowflakes on your tongue.
[OTH],It's fun.
[OTH],P'tooui.
[OTH],"That was sick, dude!"
Cartman,Hey!
Cartman,What the hell are you doing? Jewish people can't eat Christmas snow!
[OTH],"We can, too!"
[OTH],"...Nnnaw I think it's against the law, dude."
[OTH],Officer Barbrady!
[OTH],What?
[OTH],Is it illegal for Jewish people to eat Christmas snow?
[OTH],Yyess.
[OTH],Damnit!
[OTH],Hey come on guys. We have to go to the mall and tell Santa Claus what we want for Christmas.
Cartman,"Yeah. We'll see you later, Kyle. Guess there's no reason for you to come, since you don't get Christmas presents."
[OTH],No. But I get Hanukkah presents for eight days.
Cartman,Too bad it's usually a dreidel or something lame like that.
[OTH],"We'll catch up with you later, Kyle."
[OTH],"Wait! I may not have Santa, but I do have Mr. Hankey, the Christmas Poo."
[OTH],"Wha-what is this about Christmas Poo, dude?"
[OTH],Mr. Hankey. He comes out of the toilet every year and gives presents to everybody who has a lot of fiber in their diet.
Cartman,"Uh, Kyle? Come on, seriously? You are really reaching right now."
[OTH],"Well! You're gonna be sorry when you see me riding around on Santa's sleigh with Mr. Hankey, fatass!"
Cartman,"You're not gonna ride on Santa's sleigh 'cause you're a Jew, Kyle."
[OTH],"See you around, dude."
[OTH],"It's hard to be a Jew on Christmas
My friends won't let me join in any games
And I can't sing Christmas songs or decorate a Christmas tree
or leave water out for Rudolph 'cause there's something wrong with me
My people don't believe in Jesus Christ's divinity
I'm a Jew
A lonely Jew
On Christmas..."
[OTH],"Channukah is nice, but why is it
That Santa passes over my house every year?
And instead of eating ham I have to eat kosher latke
Instead of Silent Night I'm singing huhash dogavish
And what the fuck is up with lighting all these fucking candles, tell me please?
I'm a Jew
A lonely Jew
I'd be merry
But I'm Hebrew
On Christ-maas."
[OTH],"Ahem. Okay everybody, settle down."
[OTH],"Mayor, we are deeply offended by the Nativity scene in front of the capital office. Church and State are separate!"
[OTH],No! Wrong!
[OTH],"What's going on, you guys?"
[OTH],The whole town's pissed off at each other. It's really sweet.
[OTH],"That isn't all, Mayor! The school play is doing a Nativity scene! It isn't being sensitive to the Jewish community!"
[OTH],You are the Jewish community!
[OTH],Yeah! Yeah!
Cartman,"Oh, boy! Super-bitch is at it again!"
[OTH],"Don't call my mom a bitch, Cartman!"
[OTH],"Mayor, the Nativity is what Christmas is all about. If you remove Christ, you must remove Santa and Frosty and all of that garbage, too!"
[OTH],Hallelujah!
[OTH],Amen!
[OTH],And we must put a stop to the cutting down of Christmas trees!
[OTH],Raah!
[OTH],Give me a break!
[OTH],"And I'm sick and tired of those little flaps on coffee lids. If you don't want to spill your coffee, you shouldn't be driving with it."
[OTH],Yeah! Yeah!
[OTH],"Okay, people, we clearly need to reach a compromise. Perhaps we need a new icon for Christmas."
[OTH],"Oooo, brilliant idea, Mayor!"
[OTH],"Hey! How about Mr. Hankey, the Christmas Poo?"
[OTH],Ex-cuse me?
[OTH],Mr. Hankey. He comes out of the toilet every year and gives presents to everybody who has a lot of fiber in their diet.
[OTH],Kyle! Sshhh!
[OTH],"It's true. He doesn't care what faith you are. 
Mr. Hankey, the Christmas Poo
he loves me and I love you
Therefore, vicariously he loves you
Even if-"
Cartman,Don't mind him. He's a very disturbed little boy.
[OTH],(Kyle's lost it!)
[OTH],Yeah.
[OTH],"Okay, Kyle, we're leaving right nowww."
[OTH],Wait...
[OTH],"Anyway, I'll put together a crack team of my best workers to make sure this'll be the most non-offensive Christmas ever - to any religious or minority group of any kind. Are there any other suggestions?"
[OTH],"Yes, Mr. Garrison."
[OTH],Can we get rid of all the Mexicans?
[OTH],"No, Mr. Garrison, we cannot get rid of all the Mexicans."
[OTH],Rats!
[OTH],"It is sick and disgusting, and we simply will not have it!"
[OTH],"Your father's right, Kyle."
[OTH],"Sheila, let me handle this. Having imaginary friends is fine, Kyle, but this simply will not do!"
[OTH],"Listen to your father, Kyle."
[OTH],"Now, I want you to repeat after me: 'There is no such thing as Mr. Hankey'."
[OTH],"But dad, he always sh..."
[OTH],Say it!
[OTH],There's no such thing as Mr. Hankey.
[OTH],Again!
[OTH],There's no such thing as Mr. Hankey.
[OTH],"This is for your own good, bubbe."
[OTH],"Now, you go brush your teeth and march into bed! You won't be opening your Channukah present tonight!"
[OTH],Probably just another stupid dreidel anyway.
[OTH],What did you say?!
[OTH],I said Ike's on fire!
[OTH],Oh oh. On flame? Oh oh. On flame?
[OTH],OH MY GOD!
[OTH],It isn't fair! I don't want to be an outcast!
[OTH],Kyle.
[OTH],I'm not hearing that.
[OTH],Kyle.
[OTH],Mr. Hankey?
[OTH],Howwwwdy-hoooo.
[OTH],"Howdy-ho, Kyle. Gosh, you're looking swell."
[OTH],"Go away, Mr. Hankey."
[OTH],"You know something, Kyle? You smell an awful lot like flowers."
[OTH],I said go away! My father said you aren't real.
[OTH],"Not real? Well shucks. If I weren't real, could I sing this jolly Christmas song?"
[OTH],"Santa Claus is on his way
He's loaded goodies on his sleigh
To drop them off on Christmas Day
And I'll say 'Howdy-ho'."
[OTH],Mr. Hankey! Sshhhh! I'll get in trouble.
[OTH],"Folks'll gather round the fire
sing a song, stroll the choir
Pretty song they'll all retire
And I'll say 'Howdy-ho'."
[OTH],"Kyle, what are you doing in there?"
[OTH],Nothing.
[OTH],Open this door!
[OTH],"I hope that Santa comes real soon
I've been waiting for some we..."
[OTH],"Mr. Hankey, come here."
[OTH],KYLE!
[OTH],"Say something, Mr. Hankey!"
[OTH],"Now, you get to sleep, and think about how your poor mother has to clean that bathroom up!"
[OTH],Whatwhatwhaaat?! Me?!
[OTH],Howdy-ho!
[OTH],Mr. Hankey! Where the hell did you go?
[OTH],"You should be wearing socks to sleep, Kyle. You're gonna catch a cold."
[OTH],"Nobody believes in you, not even my friends."
[OTH],"Aw, gee, that's too bad."
[OTH],"Hey! How about you come to school with me tomorrow, so I can at least prove I'm not crazy to my friends."
[OTH],"Say, that sounds like a swell idea. We can show everyone the true spirit of Christmas."
[OTH],Yeah! We'll show them!
[OTH],"Okay, people, we've got to turn this place around! Take down anything that is offensive to any specific group!"
[OTH],Is mistletoe offensive?
[OTH],Is anyone offended by mistletoe?
[OTH],Lose the mistletoe!
[OTH],You guys! I'm getting that John Elway football helmet for Christmas!
Cartman,How do you know?
[OTH],'Cause I looked in my parents' closet last night.
Cartman,"Yeah? Well I sneaked around my mom's closet too, and saw what I'm getting. The Ultravibe Pleasure 2000."
[OTH],What's that?
Cartman,"I don't know, but it sounds pretty sweet."
[OTH],"Hello, everybodyyy."
[OTH],"What's in the box, dude?"
[OTH],It's a surprise.
Cartman,Let me see!
[OTH],O-Okay. But don't scare him...
[OTH],"Dude, sick!!!"
Cartman,Is this some kind of Jewish tradition?
[OTH],(That is the sickest thing I have ever fucking seen!)
[OTH],Wait! You guys! He's alive!
[OTH],"Kyle, I think you'd better get home and get some sleep."
[OTH],"Come on, dance! Daaance! Dance, damn you!!"
[OTH],Now this is very simple. I'm going to say words and the computer will measure how offended you are by them. In this way we can find out which words are least offensive for use in the holiday season. Are we ready?
[OTH],Here we go: Christ
[OTH],Hm. Okay. Cherub.
[OTH],Hm... Camel
[OTH],Hm. Sad.
[OTH],Stupid Wop Dago.
[OTH],Bench...
[OTH],"Aw, do you have to take away the Christmas tree, too?"
[OTH],Mayor's orders.
[OTH],"Okay, children, I'm really having a hard time with our Christmas play. The new law states we can't sing any songs having to do with Jesus or Santa Claus."
Cartman,Thanks to Kyle's mother.
[OTH],"Shut up, Cartman!"
[OTH],So does anybody know any non-Santa or non-Jesus Christmas songs.
[OTH],"Yes, Eric?"
Cartman,"How about we sing ""Kyle's Mom is a Stupid Bitch"", in D minor."
[OTH],"I told you not to call my mom a bitch, Cartman!"
Cartman,"O-ho. Weeeeeeeeeellll
Kyle's mom is a bitch,
she's a big fat bitch,
she's the biggest bitch in the whole wide world
She a stupid bitch,
if there ever was a bitch,
she's a bitch to all the boys and girls."
[OTH],"Shut up, Cartman!"
[OTH],Howdy-ho!
[OTH],Mr. Hankey.
Cartman,"Monday she's a bitch,
on Tuesday she's a bitch,
on Wednesday to Saturday she's a bitch
Then on Sunday, just to be different,
she's a super King Kamehameha bi-atch!"
[OTH],"Golly, that isn't very nice."
[OTH],I'd sure like to teach him a lesson.
Cartman,"Have you ever met my friend Kyle's mom? 
She's the biggest bitch in the whole wide world.
She's a mean ole bitch 'cause she has stupid hair,
she a bitch bitch bitch bitch bitch bitch bitch
bitch bitch bitch bitch bitch bitch bitch bitch
she's a stupid bitch!
Kyle's mom's a bitch and she's just a dirty bitch!
KYLE'S MOOOM IS A - BIIIIII-I-I-ITCH - aahh."
[OTH],"Mr. Hankey, no!"
[OTH],Mmmrrr-aaarrrggghhh!!!
[OTH],What the...
Cartman,"Gross, Kyle!"
[OTH],"Oh my lord, Kyle, did you just throw doo-doo at Eric?"
[OTH],Uuuuuuhh...
Cartman,YOU SICK BASTARD!
[OTH],"Now, uh, Kyle, as your school counselor, uh I want to try and help you confront your problems, 'kay?"
[OTH],I don't have a problem.
[OTH],"Well it-it's my understanding that you umhm, yu-you have an acute case of fecophilia."
[OTH],What's that?
[OTH],"Well-uh, a fecophiliac is somebody who's obsessed with mookie-stinks, Kyle."
[OTH],Mookie-stinks?
[OTH],"Now I also understand that you're Jewish. Is that right, Kyle?"
[OTH],"Wull, not on purpose."
[OTH],"So this must be a pretty hard time of year for you, being Christmas and all. Do the other kids make fun of ya?"
[OTH],"Well, sometimes..."
[OTH],And that must make you mad.
[OTH],Well sure.
[OTH],"Mad enough to kill, Kyle???"
[OTH],"No, dude!"
[OTH],"Oh that's good. You see, Kyle, sometimes we feel like an outsider, we-we create friends, Okay-in our minds, Okay?"
[OTH],But Mr. Hankey seemed so real...
[OTH],Well of course he does; in your screwed-up little head he's the only friend you have.
[OTH],Kyle!
[OTH],Howdy-ho.
[OTH],"Right now you're nuttier than Chinese chicken salad, m'kay-I mean, you're one screwed-up little kid do you understand?"
[OTH],"Santa's loaded up his sleigh
flying around his merry way..."
[OTH],"To try and stay positive stay away from drug and alcohol, and in the meantime I'm gonna put you on a heavy regimen of Prozac..."
[OTH],"Uuuuuuugghh-oh my God, you sick little monkey!"
[OTH],"Okay, children, we've just received word from the mayor that the Christmas play can't include any Christmas lights, since they offend people with epilepsy..."
[OTH],Hhmm.
[OTH],"...so Kenny, would you please go over and pull the lights cords out of the wall?"
[OTH],"Careful now, Kenny, those are very, very dangerous."
[OTH],Okay. Now let's practice our...
[OTH],No! Get away from me!
[OTH],Here. Just look more closely at it.
[OTH],"No! Go away! Stan, you need to do something about your friend, m'kay. Get him out of here before he hurts anybody! M'kay?"
[OTH],"Hullo, we need to commit our friend, Kyle please."
[OTH],Reason?
[OTH],I'm a clinically depressed fecophiliac on Prozac.
[OTH],Any allergies?
[OTH],No.
[OTH],Jacket!
Cartman,"Bye, Kyle! Happy Channukah!"
[OTH],"Okay, children, does everyone have their leotards on?"
[OTH],"Good, it looks like they have taken the Christmas trees down."
[OTH],"Yes, and there's nothing Christian, either. This should be great!"
[OTH],"Oh, this could be such a wonderful Christmas play - I wish our little Kyle was here to see it."
[OTH],"Dreidel, dreidel, dreidel, I made you out of clay
Dreidel, dreidel, dreidel, with dreidel I will play
Second verse, same as the first
Dreidel, dreidel, dreidelll-I ma..."
[OTH],Welcome to the South Park Elementary Holiday...
[OTH],"Wait, wait, there's a star above the stage. That's very offensive to non-Christians."
[OTH],"Oh, come on!"
[OTH],"Hey! Don't put your beliefs on me, buddy!"
[OTH],I agree.
[OTH],Oh brother.
[OTH],"Kenny, would you please climb that ladder and take down the star above the stage?"
[OTH],"And be careful not to fall in that little pool below you, Kenny, the shark for the third act is in there."
[OTH],(Hunh?)
[OTH],"Ladies and gentlemen, Welcome to the South Park Elementary Holiday Experience. Before we bring out the kiddies for the play, here's a non-offensive, non-denominational holiday song by the school chef."
[OTH],"I'm gonna lay you down by the Yule log
I'm gonna love you right
Baby, I'm gonna deck your halls
And silence your nights."
[OTH],"You'll hear the herald angels sing
When I'm sliding off your bra
I just can't wait to jingle your bells
and falala your love...
You can break my heart, and that means..."
[OTH],I wish Kyle was here. It just doesn't seem right without him.
[OTH],"...We should make love,"
Cartman,"Well. Ol' Kyle's gonna be locked up for a while, so get used to it."
[OTH],...'Cause if we don't-
[OTH],"Okay, kids, get ready to take your places."
[OTH],"Thank you, Chef!"
[OTH],(Phew!)
[OTH],"And now, South Park Elementary presents the happy, non-offensive, non-denominational Christmas Play, with music and lyrics by New York minimalist composer, Philip Glass!"
[OTH],"As I turn and look into the sun, the rays burn my eyes."
[OTH],How like a turtle the sun looks.
[OTH],What the hell is this???
[OTH],This is horrible!!!
[OTH],This is the most God-awful piece of crap I've ever seen!!
[OTH],You're the ones who made it this way!
[OTH],"Yeah, it's because the Jews said it couldn't be Christian."
[OTH],It wasn't our idea to take out Santa Claus!
[OTH],All you bastards ruined Christmas!
[OTH],Get him in the ribs!
[OTH],Oof.
[OTH],Damn tree-hugger!
[OTH],"This sucks, dude. This is like the worst Christmas I have ever seen."
[OTH],Yeah.
[OTH],"Say, where's Kyle?"
[OTH],We committed him.
[OTH],What? Why?
Cartman,'Cause. He kept seeing this little brown piece of Christmas poo everywhere that he went.
[OTH],Chirstmas poo? You yuh-you mean Mr. Hankey.
[OTH],Huh?! O-oh.
[OTH],"This is horrible! Everybody's fighting and my best friend is in an institution, all because we didn't believe in Mr. Hankey!"
[OTH],Well! You can believe in him now.
[OTH],AAAAAAAAAAAAAAAAHHH.
[OTH],I believe.
[OTH],I believe in Mr. Hankey.
[OTH],Hoooowwwwwdy-ho!!!
[OTH],"Howdy, folks. Gosh you sure do smell all nice and flowery."
Cartman,Whoa!!
[OTH],"Howdy-ho, Chef!"
[OTH],"Howdy-ho, Mr. Hankey!"
Cartman,"Okay, that does it! Screw this, I'm goin home!"
Cartman,Talking poo is where I draw the line!
[OTH],What's all the ruckus?
[OTH],"I'm glad you're here, Mr. Hankey. The whole town is about to kill each other."
[OTH],I reckon this could be a job for Mr. Hankey!
[OTH],STOP FIGHTING!!
[OTH],"Oh my God, what the hell is that thing?"
[OTH],"Come on, gang, don't fight. You people focus so hard on the things wrong with Christmas that you've forgotten what's so right about it. Don't you see? This is the one time of year we're s'posed to forget all the bad stuff, to stop worrying and being sad about the state of the world, and for just one day say, ""Aw, the heck with it! Let's sing and dance and bake cookies""."
[OTH],"Dude, this is pretty fucked up right here."
[OTH],"I'm a Jew
A lonely Jew..."
[OTH],"Howdy-ho, Kyle!!!"
[OTH],"Oh no, I'm not sane yet!"
[OTH],I brought some friends with me.
[OTH],Friends?
[OTH],"Merry Christmas, Kyle Broflovski!!!"
[OTH],You mean you can see him? Ah-I'm not crazy?
[OTH],"Mr. Hankey, the Christmas Poo..."
[OTH],"...he loves me and I love you
Therefore, vicariously he loves you..."
[OTH],...Even if you're a Jew
[OTH],"Sometimes he's nutty, sometimes he's corny,
he can be brown or greenish-brown
But if you eat fiber on Christmas Eve,
he might come to your town"
[OTH],"Mr. Hankey, the Christmas Poo
He loves me. I love you
Heeeeeeee Looooooves Yoooooouu!"
[OTH],"Well, I've got a loong night ahead of me. Bye-bye and Merry Christmas."
Cartman,Good-bye Mr. Hankey! Bring me lots of presents! I always believed in you!
[OTH],Howdy-ho ho ho!
[OTH],"You know, I learned something today. I learned that Jewish people are okay. And that...Hanukkah can be cool, too."
[OTH],"Yeah... You know, it seems like something's still not right."
Cartman,"Yeah, something feels...unfinished."
[OTH],Wh-what could it be?
[OTH],(Yee he hee!)
[OTH],"Happy Birthday to me, Happy Birthday to me..."
Cartman,"Here you go, Kyle... And here's yours, Stan..."
[OTH],"What is this, Cartman?"
Cartman,They're invitations to my birthday party this weekend.
[OTH],"Oh, sweet! Your mom's giving you a big party again this year?"
Cartman,"Thaat's right. 'Cause it's my birthday, my bu bubu birthday..."
[OTH],"Kick ass, dude! Cartman's mom throws the best birthday parties ever."
Cartman,That's right.
[OTH],"Yeah. If my mom could cook like Cartman's mom, I'd be a big fat-ass, too."
Cartman,That's ri-aayy.
[OTH],"Oh, Eric. I didn't get an invitation."
Cartman,"Oh, really? Gosh. Where could I have put Pip's invitation?? Let's see, Pip's invitation, Pip's invitation... Oh! I remember!"
Cartman,I shoved it up my ass!
Cartman,"Yeess, that's right. I wrote it out, put it in an envelope, sealed it, and then shoved it right up my ass, forever ruining any chance you had of coming to my birthday party! Sorry, Pip ol' chap!"
Cartman,"Here's yours, Wendy... and here's yours, Clyde..."
[OTH],"Children, children! Today is a very special day."
Cartman,"No, my birthday isn't until Saturday."
[OTH],"I'm not talking about your birthday, Eric. We have a new student joining our class today."
Cartman,Eeeeeeh!
[OTH],"Now, some of you know what it's like to be the new kid in town, so I want you all to take special care to make him feel welcome. I want you all to meet our new classmate... uh-uh, what's your name again?"
[OTH],Damien!
[OTH],Rectus...dominus...
[OTH],"Say 'hi' to Damien! And where are you from, Damien?"
[OTH],The seventh layer of hell!
[OTH],"Ooooh, that's exciting, my mother was from Alabama."
[OTH],"My arrival shall note the end of the Beginning, the beginning of the End, the new reign of my father!"
[OTH],... rectus... cheesy poofs...
[OTH],Your father?
[OTH],The Prince of Darkness!
[OTH],"Wow, we have royalty in our class. Why don't you take your seat, Damien? We're gonna finish our lesson on great singers of the Baroque era."
[OTH],"Now, children, Nancy Sinatra was quite a choice piece of ass..."
Cartman,"Hey, new kid. Do you want an invitation to my birthday party?"
[OTH],Here begins the rule of pain! The new domination of...
Cartman,"Psych! I wasn't gonna give you an invitation, hehehehehehe! Hey, who cut your hair? Stevie Wonder?"
[OTH],Rectus... dominus...
Cartman,Byah. Oof!
[OTH],"Whoa, dude!"
[OTH],Sancti...
[OTH],"Damn, what a freak!"
Cartman,Hey! I had a poofy pie in that desk!
[OTH],Cheesy poofs...
[OTH],Now feel the wrath - of the fallen angels! The plague of night is upon ye.
[OTH],"Damien, do you need to sit in time out for a few minutes?"
Cartman,"Eheh. You got in trouble, you got in trouble."
[OTH],"Hey, Cartman? How come the birthday invitation you gave me says 'Green Mega Man'?"
[OTH],Yeah. Mine says 'Red Mega Man'.
Cartman,Right. That's what your supposed to get for my birthday.
[OTH],Dude. You're not supposed to tell people what to get you for your birthday.
[OTH],"Yeah, that's weak!"
Cartman,"Look, it's very simple guys. Green Mega Man goes with Red Mega Man and Yellow Mega Man to make the Ultra Mega Mega Man. You have to have all three or it doesn't work, see?"
[OTH],Up yours. Cartman. I'll get you whatever the hell I want.
Cartman,"Oooh. So maybe you don't want to have any of my mom's cake, pie, and ice cream, then."
[OTH],"Oh great, Green Mega Man it is."
Cartman,"Now. As you can see, Kenny, you are to get me Yellow Mega Man. That's because Yellow Mega Man is the cheapest one, and I know how poor your family is."
[OTH],"Heeyy, what do you think you're doing, new kid?"
Cartman,"Yeah. You can't sit with us, weirdo!"
[OTH],Infidels! I will turn you all into beasts of burden!
[OTH],"You can't sit with us, new kid. Go find another table!"
Cartman,"Yich. Anyway Kenny, Yellow Man is only $8.95, so maybe your mom can put it on layaway and make payments for a year or two."
Cartman,Eeyy!
[OTH],"Oh. Good day, Damien. My name is Philip, but everyone calls me Pip - because they hate me."
[OTH],Then I will call you Pip.
[OTH],Right-o.
[OTH],Hey new kid!
[OTH],"Kenny says he saw... your mother drop you off this morning, and she's a real dog."
[OTH],"(Yeah, I feel that she's a freakin' bitch!)"
[OTH],That does it! Woo-paah.
[OTH],... rectus... dominus...
[OTH],What the... ?
[OTH],Dude! He turned Kenny into a duck-billed platypus.
[OTH],A what?
[OTH],Quack-quack.
Cartman,"Eeyy! Uh-turn him back you butt-hole, he has to buy me the Yellow Mega Man!"
[OTH],"Hello there, children."
[OTH],"Hey, Chef."
[OTH],How's it going?
[OTH],Bad.
[OTH],Why bad?
[OTH],"Chef, there's a new kid in school, and he's a total weirdo freak."
[OTH],"Oh children, children, you shouldn't not like somebody just because they're different. Here, let me sing you a little song, 
We're all special in our own way
everybody's different, but that's okay,
'cause even though we might-a have different-colored skin,
different points of view, be tall or thin,
it doesn't mean I can't lay you down, woman, and touch your silky skin,"
[OTH],"With my love deep inside you, where no man has ever been,"
[OTH],"Rub you legs, caress your thighs and uh..."
[OTH],What were we talking about again?
[OTH],The new kid.
[OTH],Death to the holy! The wrath of the fallen angels now heads for you all!
[OTH],Rectus... dominus... cheesy poofs...
[OTH],Whoa!
[OTH],Oh! That is one fudged-up little cracker!
[OTH],"We told you, dude."
[OTH],"We've got to do something, children!"
[OTH],Bring me Jesus! My wrath shall continue until I speak to Jesus!
[OTH],... rectus... dominus... cheesy poofs... rectus... dominus...
[OTH],Jesus?
[OTH],"Two minutes to air, Jesus."
[OTH],"Thanks, Roland. Blessed art thou."
[OTH],"Jesus, Jesus!"
[OTH],"Ah-hi kids, I only do autographs after the show."
[OTH],"No no. There's a big problem at school. Some new kid showed up, wearing all black, and and Chef thinks he's evil."
[OTH],"Yeah. Look what he did to our friend, Kenny."
[OTH],Quack-quack.
[OTH],Wow. That's pretty heavy.
[OTH],"This new kid, he just keeps throwing things around and... saying stuff aboout his dark prince father coming. He says he wants to talk to you."
[OTH],The Dark Prince?
[OTH],Yeah.
[OTH],Yeah.
[OTH],"So it was written, and so the cycle of years brings the Son of the Evil One."
[OTH],Whoa. Huduh now he's talking like the new kid.
[OTH],"Thou must taketh me to this seedling of Satan, so mine eyes can confirm the wretched truth."
[OTH],... K.
[OTH],"Five minutes until recess is over, you little bastards!"
Cartman,"Now, as you can see, the Red Mega Man uses thee... Mega Cycle, which is what Clyde will be getting me for my birthday. Wendy, you were supposed to get me the Mega Power Chopper, illustrated... here, but, I'm changing your present to the Yellow Mega Man, since Kenny has been turned into a... duck-billed platypus. That means that the Mega Man beach house, illustrated... heuh, will be a gift given by two people at once, 'cause it costs more money..."
[OTH],Rectus... dominus... sancti...
[OTH],Aaaaa Bebe!
[OTH],Our slide!
[OTH],Feel my wrath!
[OTH],"Oho Damien, you shouldn't be so upset, you know. I know it's hard being the new kid, but the children may accept you someday."
[OTH],I don't need acceptance. I'm the Son of Satan!
[OTH],Believe me! I know what it's like not to have friends. Perhaps you should speak to the school counselor. He helps me a lot when I'm feeling lonely.
[OTH],... Rectus... cheesy poofs...
[OTH],Damien!
[OTH],Aaah! Son of Stench! Cursed Ruler of the weak!
[OTH],"So it is thou, Son of Lucifer!"
[OTH],"Your time on this earth is short. Soon, my father comes."
[OTH],Let him come then. I shall stop him!
[OTH],Behold! He is already upon us! [Clouds begin to conceal the sun.
[OTH],"Ohh, dude!"
[OTH],Hic dominus ampullicus unum sum. Forante onlisam dum sameli etludemus.
[OTH],What the hell's going on here?
[OTH],Look! It's that guy from the public access show!
[OTH],What's happening?
[OTH],"Come over here if you're scared, women! I'll protect you!"
[OTH],"Not you, dammit!"
[OTH],Forante onlisam dum sameli etludemus.
[OTH],"Jesus, my father says... he chooses you! He calls you out! Be here at this time tomorrow! Then the terms will be discussed!"
[OTH],Very well. Let the final battle between Good and Evil be fought - right here in South Park!
[OTH],"Come on, Ned! We've got to get our asses to the bookie!"
[OTH],You're gonna fight Satan?
[OTH],"This fight has been ordained since the beginning! My children, this is the most crucial and serious time... of all history."
[OTH],Who will win our souls?
[OTH],Our Savior and Lord?
[OTH],Or the Prince of Darkness?
[OTH],It's the final battle between Good and Evil.
[OTH],"And it's only on Pay Per View! Jesus Versus Satan! Live, from the South Park Forum on Saturday. Call now to order, only $49.95."
Cartman,"Hey, wait a minute. Saturday is my birthday party. They can't have the fight on Saturday!"
[OTH],Quack-quack.
[OTH],"I don't know what to do, dude. Do we go to the fight, or Cartman's birthday?"
Cartman,Cartman's birthday!
[OTH],We can't miss the final apocalyptic battle between Good and Evil!
Cartman,"You guys, my mom is getting a Ferris wheel."
[OTH],"Well, come on. We have to at least see the weigh-in."
Cartman,"Who the hell decided the fight had to be on Saturday, huh?! This whole thing is a plot against me, isn't it?!"
[OTH],When is Satan gonna show up?
[OTH],Did the Devil show up yet?
[OTH],Not yet.
[OTH],"Hey, Jesus! Ih-if you win the fight, can you turn Kenny back to normal?"
[OTH],... What the hell do you mean if I win the fight?
Cartman,"Don't mind him, Jesus, he's Jewish."
[OTH],Oh.
[OTH],"We're all with you, Jesus! We put every dime we have on you beatin' that Dark Prince."
[OTH],"Thank you for your faith but, I think perhaps you don't understand the severity of the situation."
[OTH],"You're gonna kick his ass, Jesus."
[OTH],Rectus... dominus...
[OTH],Behold. The Evil One approaches.
[OTH],Yeah.
[OTH],Holy poop on a stick!
[OTH],Puny Son of Jehovah! Prepare to enter thy House of Pain!
[OTH],"Holy crap, dude. Satan is huge."
[OTH],Now that is a man who has eaten a lot of beef!
[OTH],"Son of God, I will smash thy face into small little bits!"
[OTH],Oh - oh yeah??
[OTH],Damn.
[OTH],I have such delightful horrors to unleash upon thee.
[OTH],Oh yeah??
[OTH],"Satan weighs in at - 320 lbs, 4 oz."
[OTH],"Jesus Christ weighs in at - 135 lbs., 1 oz."
[OTH],Ooh crap.
[OTH],"Aw, come on! I weigh more than that."
[OTH],"Let the new prince be decided on Saturday. First South Park, then the world."
[OTH],Well-uh... I think I'll-uh uuduh-I think I left the oven on.
